避難收容處所名稱,縣市及鄉鎮市區,避難收容處所地址,經度,緯度,is_indoor,預計收容人數,最近AQI測站,測站縣市,最近AQI值,測站狀態,距離(km),風險等級
高雄東照山關帝廟備用,高雄市大樹區,忠義路1號,120.3941,22.6942,True,300,仁武,高雄市,150.0,對所有族群不健康,6.33,High Risk
循理會南三和教會,屏東縣瑪家鄉,美園巷90-4號,120.5989,22.6949,True,150,屏東,屏東縣,90.0,普通,11.63,Normal
復興永清里活動中心,高雄市左營區,復興新村335號,120.299673,22.69567,True,150,左營,高雄市,150.0,對所有族群不健康,2.42,High Risk
祥和山莊活動中心,高雄市左營區,左營大路928巷101號,120.301803,22.69635,True,100,左營,高雄市,150.0,對所有族群不健康,2.56,High Risk
原大樹鄉民代表會,高雄市大樹區,中興北路227號,120.4321,22.6964,True,42,屏東,屏東縣,90.0,普通,6.3,Normal
臺東縣農會東遊季溫泉渡假村,臺東縣卑南鄉,溫泉路376巷18號,121.019705,22.696483,True,30,臺東,臺東縣,44.0,良好,14.92,Normal
溫泉國民小學,臺東縣卑南鄉,溫泉村11鄰溫泉路291號,121.02593,22.697667,True,50,臺東,臺東縣,44.0,良好,14.29,Normal
溫泉村活動中心,臺東縣卑南鄉,溫泉村11鄰溫泉路293號,121.025091,22.697823,True,30,臺東,臺東縣,44.0,良好,14.36,Normal
高雄市仁武區.烏林國民小學,高雄市仁武區,林森巷23號,120.372598,22.697888,True,429,仁武,高雄市,150.0,對所有族群不健康,4.22,High Risk
元新溫泉飯店,臺東縣卑南鄉,溫泉路314號,121.024826,22.698053,True,20,臺東,臺東縣,44.0,良好,14.37,Normal
屏東市海豐國小,屏東縣屏東市,海豐街3號,120.508,22.6989,True,655,屏東,屏東縣,90.0,普通,3.53,Normal
高雄市仁武區仁武國民小學,高雄市仁武區,中正路94號,120.348359,22.701263,True,1782,仁武,高雄市,150.0,對所有族群不健康,2.11,High Risk
仁武區綜合活動中心,高雄市仁武區,中正路94號,120.3484,22.7013,True,500,仁武,高雄市,150.0,對所有族群不健康,2.11,High Risk
隘寮國小,屏東縣內埔鄉,清涼路二段238號,120.6357,22.7024,True,120,屏東,屏東縣,90.0,普通,15.5,Normal
高雄市大樹區姑山國民小學,高雄市大樹區,姑山路1號,119.464848,22.702543,True,239,臺南,臺南市,78.0,普通,83.64,Normal
繁華國小,屏東縣長治鄉,水源路96號,120.5722,22.7026,True,200,屏東,屏東縣,90.0,普通,9.24,Normal
瑪家國中,屏東縣瑪家鄉,三和巷16號,120.6095,22.7026,True,100,屏東,屏東縣,90.0,普通,12.89,Normal
亞莊酒店,臺東縣卑南鄉,溫泉路68號,121.032022,22.703397,True,30,臺東,臺東縣,44.0,良好,13.45,Normal
中村基督長老教會,屏東縣瑪家鄉,三和巷32號,120.6078,22.7034,True,200,屏東,屏東縣,90.0,普通,12.74,Normal
玉泉社區活動中心,屏東縣瑪家鄉,1鄰6-3號,120.6089,22.7036,True,200,屏東,屏東縣,90.0,普通,12.86,Normal
仁武里活動中心,高雄市仁武區,仁祥街199號,120.3447169,22.70434779,True,500,仁武,高雄市,150.0,對所有族群不健康,2.1,High Risk
知本社區活動中心,臺東縣臺東市,知本路三段13巷40號,121.055645,22.705462,True,34,臺東,臺東縣,44.0,良好,11.19,Normal
北葉國小體育館,屏東縣瑪家鄉,北葉村風景巷1鄰1號,120.646,22.7074,True,320,屏東,屏東縣,90.0,普通,16.65,Normal
F Hotel,臺東縣卑南鄉,台東市大順路33號,121.042182,22.707519,True,30,臺東,臺東縣,44.0,良好,12.31,Normal
高雄市楠梓區廣、大、久、盛昌里活動中心,高雄市楠梓區,廣昌街175巷37號,120.285079,22.707528,True,157,左營,高雄市,150.0,對所有族群不健康,3.72,High Risk
建業社區活動中心,臺東縣臺東市,西昌街214號,121.050993,22.707748,True,35,臺東,臺東縣,44.0,良好,11.49,Normal
中華里活動中心,高雄市仁武區,華園街25號,120.3272,22.7085,True,100,仁武,高雄市,150.0,對所有族群不健康,2.23,High Risk
高雄市楠梓區油廠國民小學,高雄市楠梓區,左楠路4號,120.302919,22.708958,True,636,仁武,高雄市,150.0,對所有族群不健康,3.77,High Risk
北葉社區活動中心,屏東縣瑪家鄉,風景巷1-8號,120.6479,22.7096,True,443,屏東,屏東縣,90.0,普通,16.9,Normal
高雄市仁武區竹後國民小學,高雄市仁武區,竹楠路250號,120.334866,22.710042,True,429,仁武,高雄市,150.0,對所有族群不健康,2.34,High Risk
高雄市左營區莒光國民小學,高雄市左營區,後昌路842號,120.295275,22.711558,True,20,左營,高雄市,150.0,對所有族群不健康,4.09,High Risk
高雄市楠梓區莒光國民小學,高雄市楠梓區,後昌路842號,120.295275,22.711558,True,1273,左營,高雄市,150.0,對所有族群不健康,4.09,High Risk
高雄市立右昌國民中學,高雄市楠梓區,盛昌街161號,120.286911,22.713585,True,927,左營,高雄市,150.0,對所有族群不健康,4.35,High Risk
高雄市楠梓區右昌國民小學,高雄市楠梓區,加昌路910號,120.292106,22.713629,True,1291,左營,高雄市,150.0,對所有族群不健康,4.31,High Risk
三地門鄉立體育館,屏東縣三地門鄉,行政街11號,120.6539,22.7141,True,200,屏東,屏東縣,90.0,普通,17.62,Normal
地磨兒國小,屏東縣三地門鄉,行政街9號,120.654518,22.714903,True,60,屏東,屏東縣,90.0,普通,17.7,Normal
國軍退役官兵輔導委員會高雄榮譽國民之家,高雄市楠梓區,加昌路631號,120.3018,22.7151,True,17,楠梓,高雄市,150.0,對所有族群不健康,3.41,High Risk
高雄市楠梓區宏昌等六里聯合活動中心,高雄市楠梓區,後昌路960巷19號,120.2941,22.7154,True,60,楠梓,高雄市,150.0,對所有族群不健康,4.05,High Risk
